Analyze data za 2025 obchody zavrete po 10 dnoch.

| Obchody denne | Celkový počet obchodov | Success Rate (%) | SUM (profit) |
| ------------- | ---------------------- | ---------------- | ------------ |
| 1             | 28                     | 57               | 52.48        |
| 2             | 56                     | 57               | 76.82        |
| 3             | 84                     | 55               | 72.36        |
| 4             | 112                    | 54               | 87.96        |
| 5             | 140                    | 53               | 79.81        |
| 6             | 168                    | 54               | 136.87       |
| 7             | 196                    | 53               | 143.92       |
| 8             | 224                    | 54               | 154.56       |
| 9             | 252                    | 54               | 164.14       |
| 10            | 280                    | 54               | 173.95       |
| 11            | 308                    | 54               | 182.81       |
| 12            | 336                    | 54               | 193.23       |
| 13            | 364                    | 54               | 201.89       |
| 14            | 392                    | 53               | 208.91       |
| 15            | 420                    | 53               | 218.18       |
| 16            | 448                    | 53               | 228.73       |
| 17            | 476                    | 53               | 235.91       |
| 18            | 504                    | 53               | 245.18       |
| 19            | 532                    | 53               | 253.45       |
| 20            | 560                    | 53               | 352.00       |

